DateTime,Probability of Recession in 3 Months
1955-07-01,0.1047332802
1955-08-01,0.4487469355
1955-09-01,0.3167020294
1955-10-01,0.2654186876
1955-11-01,0.09644819349
1955-12-01,0.06515952051
1956-01-01,0.06024658932
1956-02-01,0.2683253783
1956-03-01,1.26282742
1956-04-01,0.9428936707
1956-05-01,3.385893721
1956-06-01,20.810029
1956-07-01,74.30698252
1956-08-01,9.448032139
1956-09-01,1.270411424
1956-10-01,0.2658154126
1956-11-01,3.164999963
1956-12-01,8.243581725
1957-01-01,8.363672333
1957-02-01,0.8044391299
1957-03-01,3.174300403
1957-04-01,12.57142587
1957-05-01,36.36203634
1957-06-01,36.3446412
1957-07-01,25.78222284
1957-08-01,15.91613762
1957-09-01,60.0155268
1957-10-01,84.02419043
1957-11-01,74.18948165
1957-12-01,75.67365827
1958-01-01,62.04804832
1958-02-01,47.70246918
1958-03-01,27.14619574
1958-04-01,27.46570067
1958-05-01,17.04769785
1958-06-01,7.386368245
1958-07-01,4.815938861
1958-08-01,2.419228096
1958-09-01,0.8248255016
1958-10-01,0.4901791874
1958-11-01,0.1967645999
1958-12-01,0.1062644985
1959-01-01,0.09187766098
1959-02-01,0.02754004574
1959-03-01,0.04937734021
1959-04-01,0.07413670313
1959-05-01,0.06046229622
1959-06-01,0.02722213039
1959-07-01,1.456513275
1959-08-01,21.03581062
1959-09-01,26.73382597
1959-10-01,67.8616711
1959-11-01,24.97254238
1959-12-01,0.0546851305
1960-01-01,2.049492359
1960-02-01,0.4869220736
1960-03-01,1.332027379
1960-04-01,66.67498988
1960-05-01,75.22378839
1960-06-01,74.29177587
1960-07-01,49.17375685
1960-08-01,45.95171587
1960-09-01,36.86137434
1960-10-01,86.40696084
1960-11-01,86.19998661
1960-12-01,88.05375708
1961-01-01,36.73458318
1961-02-01,24.28958056
1961-03-01,4.052289951
1961-04-01,1.661237592
1961-05-01,0.2049915612
1961-06-01,0.1482469962
1961-07-01,0.07662217424
1961-08-01,0.02856195836
1961-09-01,0.1170556276
1961-10-01,0.07387668887
1961-11-01,0.03816502453
1961-12-01,0.05565161891
1962-01-01,0.1164427133
1962-02-01,0.09964859601
1962-03-01,0.3222582967
1962-04-01,0.05900919028
1962-05-01,1.560765314
1962-06-01,18.09241638
1962-07-01,21.32200612
1962-08-01,8.554409786
1962-09-01,0.7400121968
1962-10-01,1.148733931
1962-11-01,1.010672986
1962-12-01,1.517388571
1963-01-01,1.757020266
1963-02-01,0.9540674134
1963-03-01,0.2745193126
1963-04-01,0.0607120821
1963-05-01,0.07356340567
1963-06-01,0.1511746102
1963-07-01,1.333470597
1963-08-01,2.916358134
1963-09-01,0.4037356641
1963-10-01,0.0855382688
1963-11-01,0.2401536538
1963-12-01,1.074480626
1964-01-01,1.489517849
1964-02-01,0.1077801224
1964-03-01,0.08561092478
1964-04-01,0.05108543412
1964-05-01,0.08806957443
1964-06-01,0.08914770875
1964-07-01,0.07730135127
1964-08-01,0.08459650386
1964-09-01,0.04653345982
1964-10-01,3.679422061
1964-11-01,0.04690672852
1964-12-01,0.05305662194
1965-01-01,0.03656602248
1965-02-01,0.0901377862
1965-03-01,0.02056165092
1965-04-01,0.02660607124
1965-05-01,0.01745967547
1965-06-01,0.1018989403
1965-07-01,0.02405608644
1965-08-01,0.04187387683
1965-09-01,0.04029508827
1965-10-01,0.03616679809
1965-11-01,0.03974995007
1965-12-01,0.01891534536
1966-01-01,0.02196103488
1966-02-01,0.03576650082
1966-03-01,0.03069899634
1966-04-01,0.09918538652
1966-05-01,0.06484246175
1966-06-01,0.1238220889
1966-07-01,0.1038068858
1966-08-01,2.212659562
1966-09-01,5.19518014
1966-10-01,4.65968405
1966-11-01,0.5813580533
1966-12-01,1.226691405
1967-01-01,1.622647307
1967-02-01,3.692647024
1967-03-01,6.445941107
1967-04-01,6.076622737
1967-05-01,4.105033616
1967-06-01,10.08034398
1967-07-01,14.17535831
1967-08-01,1.018967991
1967-09-01,0.5676704126
1967-10-01,0.9162654625
1967-11-01,1.43831961
1967-12-01,0.1446290428
1968-01-01,0.2184054827
1968-02-01,0.5788757518
1968-03-01,5.801661563
1968-04-01,0.4999518787
1968-05-01,0.3624359677
1968-06-01,0.4685442089
1968-07-01,1.774977404
1968-08-01,3.282838329
1968-09-01,1.338070237
1968-10-01,0.5210329349
1968-11-01,0.2420591313
1968-12-01,0.443028545
1969-01-01,0.2760375263
1969-02-01,0.5299759574
1969-03-01,4.71678097
1969-04-01,5.256072953
1969-05-01,6.630694045
1969-06-01,1.790289029
1969-07-01,4.648523208
1969-08-01,8.543660323
1969-09-01,56.24973598
1969-10-01,45.90344154
1969-11-01,44.67817026
1969-12-01,46.04646001
1970-01-01,72.63586135
1970-02-01,96.61806013
1970-03-01,88.14214611
1970-04-01,75.47922604
1970-05-01,92.50042479
1970-06-01,96.10089159
1970-07-01,77.01660794
1970-08-01,74.93645417
1970-09-01,43.58556359
1970-10-01,19.91608144
1970-11-01,45.59287413
1970-12-01,20.99670471
1971-01-01,5.076363912
1971-02-01,1.920662142
1971-03-01,3.126123803
1971-04-01,2.421046307
1971-05-01,1.376603359
1971-06-01,3.65494463
1971-07-01,18.9442572
1971-08-01,67.5644202
1971-09-01,3.049370202
1971-10-01,0.791639391
1971-11-01,0.3417342556
1971-12-01,0.7039533432
1972-01-01,0.3258982997
1972-02-01,0.8586578957
1972-03-01,0.09466151645
1972-04-01,0.0740430595
1972-05-01,0.08925565816
1972-06-01,0.1457022677
1972-07-01,1.871900531
1972-08-01,0.1938083595
1972-09-01,0.4043250913
1972-10-01,0.04779203687
